2025-03-09 12:55:44,276 [INFO] - Initializing PostgresDBBot...
2025-03-09 12:55:44,368 [INFO] - Connected to Postgres @ localhost:5434/Quant_Trading
2025-03-09 12:55:44,369 [INFO] - Tables verified/created successfully.
2025-03-09 12:55:44,374 [INFO] - DB Bot running, listening to Redis Pub/Sub...
2025-03-09 15:19:59,785 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:19:00
2025-03-09 15:19:59,887 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 04:15:00
2025-03-09 15:20:59,755 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:20:00
2025-03-09 16:06:59,858 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:06:00
2025-03-09 16:06:59,960 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:06:00
2025-03-09 16:07:00,172 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:06:00
2025-03-09 16:07:59,856 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:07:00
2025-03-09 16:07:59,959 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:07:00
2025-03-09 16:08:00,175 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:07:00
2025-03-09 16:08:59,857 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:08:00
2025-03-09 16:08:59,959 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:08:00
2025-03-09 16:09:00,175 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:08:00
2025-03-09 16:09:59,857 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 05:05:00
2025-03-09 16:09:59,960 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:09:00
2025-03-09 16:10:00,062 [INFO] - Kline data inserted for ETHUSDT, interval=5, time=2025-03-09 05:05:00
2025-03-09 16:10:00,164 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:09:00
2025-03-09 16:10:00,266 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:09:00
2025-03-09 16:10:00,368 [INFO] - Kline data inserted for SOLUSDT, interval=5, time=2025-03-09 05:05:00
2025-03-09 16:10:59,860 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:10:00
2025-03-09 16:10:59,962 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:10:00
2025-03-09 16:11:00,177 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:10:00
2025-03-09 16:11:59,861 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:11:00
2025-03-09 16:11:59,962 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:11:00
2025-03-09 16:12:00,179 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:11:00
2025-03-09 16:12:59,862 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:12:00
2025-03-09 16:12:59,963 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:12:00
2025-03-09 16:13:00,180 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:12:00
2025-03-09 16:13:59,864 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:13:00
2025-03-09 16:13:59,966 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:13:00
2025-03-09 16:14:00,181 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:13:00
2025-03-09 16:14:59,864 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:14:00
2025-03-09 16:14:59,966 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 05:10:00
2025-03-09 16:15:00,068 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:14:00
2025-03-09 16:15:00,171 [INFO] - Kline data inserted for ETHUSDT, interval=5, time=2025-03-09 05:10:00
2025-03-09 16:15:00,274 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:14:00
2025-03-09 16:15:00,376 [INFO] - Kline data inserted for SOLUSDT, interval=5, time=2025-03-09 05:10:00
2025-03-09 16:15:59,866 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:15:00
2025-03-09 16:15:59,968 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:15:00
2025-03-09 16:16:00,201 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:15:00
2025-03-09 16:16:59,946 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:16:00
2025-03-09 16:17:00,185 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:16:00
2025-03-09 16:17:00,867 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:16:00
2025-03-09 16:17:59,868 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:17:00
2025-03-09 16:17:59,971 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:17:00
2025-03-09 16:18:00,186 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:17:00
2025-03-09 16:18:59,872 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:18:00
2025-03-09 16:18:59,974 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:18:00
2025-03-09 16:19:00,186 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:18:00
2025-03-09 16:19:59,871 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 05:15:00
2025-03-09 16:19:59,973 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:19:00
2025-03-09 16:20:00,075 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:19:00
2025-03-09 16:20:00,177 [INFO] - Kline data inserted for ETHUSDT, interval=5, time=2025-03-09 05:15:00
2025-03-09 16:20:00,279 [INFO] - Kline data inserted for SOLUSDT, interval=5, time=2025-03-09 05:15:00
2025-03-09 16:20:00,382 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:19:00
2025-03-09 16:20:59,873 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:20:00
2025-03-09 16:20:59,975 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:20:00
